Timestamp,Твоя програма,Стать,Курс,Чи проживаєш ти у колегіумі?,"Якби вибори студентського Урядку відбувалися завтра, за кого ти би віддав свій голос?",Поясни свій вибір за бажанням ,Чи ти належиш до СО?,Чи ти куриш?(паріння теж враховується),Чи ти цікавишся студентським політичним житям або політикою у країні?
10/4/2023 19:43:36,Право,Жінка,3,Так,Авжеж,,Так,Ні,"Так, і тим, і тим"
10/4/2023 19:45:59,Соціальна робота,Жінка,2,Ні,Авжеж,,Так,Так,"Так, і тим, і тим"
10/4/2023 19:52:41,Комп’ютерні науки,Чоловік,3,Ні,Так,,Ні,Ні,"Так, політикою"
10/4/2023 20:07:34,Комп’ютерні науки,Жінка,3,Ні,Так,,Ні,Ні,"Так, і тим, і тим"
10/4/2023 20:13:41,ІТ та БА,Чоловік,2,Так,Так,,Так,Ні,50 на 50
10/4/2023 20:16:15,Історія,Чоловік,2,Так,Так,вони найбільш адекватні ,Ні,Так,"Так, і тим, і тим"
10/4/2023 20:21:55,ЕПЕ,Жінка,3,Так,Так,Так показують найпродуманішу програму й найбільшу надійність учасників,Так,Ні,"Так, і тим, і тим"
10/4/2023 20:29:46,ІТ та БА,Жінка,3,Ні,Не визначився(лась),,Ні,Так,"Так, політикою"
10/4/2023 20:47:39,Комп’ютерні науки,Чоловік,4,Ні,Авжеж,,Ні,Так,"Так, і тим, і тим"
10/4/2023 20:50:54,Комп’ютерні науки,Чоловік,1,Так,Не визначився(лась),,Ні,Ні,"Так, політикою"
10/4/2023 20:53:33,Психологія,Жінка,1,Ні,Авжеж,,Ні,Ні,50 на 50
10/4/2023 20:53:57,Психологія,Жінка,3,Так,Так,,Ні,Інколи,"Так, студ життям"
10/4/2023 20:55:39,Історія,Жінка,1,Так,Так,,Ні,Так,"Так, студ життям"
10/4/2023 20:57:17,Психологія,Жінка,3,Ні,Так,,Ні,Інколи,"Так, і тим, і тим"
10/4/2023 20:57:37,Історія,Жінка,1,Так,Так,"Коасна команда ,і командний дух ",Так,Ні,"Так, студ життям"
10/4/2023 20:57:49,ІТ та БА,Жінка,3,Ні,Я виступаю проти всіх,,Ні,Інколи,50 на 50
10/4/2023 20:59:21,Психологія,Жінка,3,Ні,Так,"найвідповідальніші люди, мають найбільше досвіду ",Ні,Так,"Так, і тим, і тим"
10/4/2023 20:59:26,Право,Жінка,3,Так,Так,"Це команда яка навіть не ставши урядом багато чого робить. Знаю склад цієї команди і це точно люди які будуть працювати, а не казати пусті слова ",Ні,Інколи,"Так, і тим, і тим"
10/4/2023 20:59:51,Історія,Жінка,1,Так,Так,"Найкраща програма, найкраща позиція серед урядів, злагоджена команда та цікаві події.",Ні,Так,50 на 50
10/4/2023 21:00:20,Соціальна робота,Жінка,3,Ні,Та ти шо,-,Так,Так,"Так, і тим, і тим"
10/4/2023 21:03:42,Соціальна робота,Жінка,2,Ні,Авжеж,,Ні,Ні,50 на 50
10/4/2023 21:10:02,Культурологія,Чоловік,1,Ні,Авжеж,"Є три команди: команда популістів (плакат з Андре, якого ""не соромно показати мамі""), команда з гарним дизайнером (у татишо і справді найкрасивіші плакати та й загалом оформлення), і авжеж (які почали з опублікування хоч теж і популістської, але програми)",Так,Ні,"Так, і тим, і тим"
10/4/2023 21:22:04,Соціологія,Жінка,3,Ні,Так,,Ні,Ні,"Так, і тим, і тим"
10/4/2023 21:22:06,ЕПЕ,Жінка,3,Так,Так,,Так,Інколи,"Так, і тим, і тим"
10/4/2023 21:24:49,ЕПЕ,Чоловік,2,Ні,Так,"Вважаю, що студ самоврядування УКУ давно потребує якісних змін.",Ні,Ні,"Так, і тим, і тим"
10/4/2023 21:26:48,Культурологія,Жінка,1,Ні,Не визначився(лась),,Так,Так,"Так, студ життям"
10/4/2023 21:32:25,ЕПЕ,Жінка,3,Так,Авжеж,,Так,Інколи,"Так, і тим, і тим"
10/4/2023 21:34:01,ІТ та БА,Чоловік,1,Ні,Та ти шо,,Ні,Ні,50 на 50
10/4/2023 21:39:35,Право,Жінка,1,Так,Так,,Ні,Ні,"Так, студ життям"
10/4/2023 22:01:00,Психологія,Жінка,3,Ні,Так,,Так,Ні,"Так, студ життям"
10/4/2023 22:01:47,Комп’ютерні науки,Чоловік,4,Ні,Так,,Ні,Ні,50 на 50
10/4/2023 22:16:56,Психологія,Жінка,1,Ні,Авжеж,Вони чітко висвітлили свою програму,Так,Ні,50 на 50
10/4/2023 22:27:28,Соціальна робота,Жінка,1,Так,Не визначився(лась),,Так,Ні,50 на 50
10/4/2023 23:22:42,ЕПЕ,Жінка,2,Ні,Так,,Ні,Так,"Так, і тим, і тим"
10/4/2023 23:30:18,Філологія,Жінка,3,Ні,Авжеж,Там є олексій галуга з смішними вусиками,Так,Ні,"Так, і тим, і тим"
10/4/2023 23:54:05,ІТ та БА,Жінка,4,Ні,Авжеж,,Ні,Ні,"Так, політикою"
10/5/2023 1:36:33,Комп’ютерні науки,Жінка,2,Ні,Так,,Ні,Так,"Так, і тим, і тим"
10/5/2023 1:47:48,Соціологія,Жінка,1,Так,Так,,Ні,Ні,"Так, і тим, і тим"
10/5/2023 7:08:02,ІТ та БА,Жінка,3,Ні,Не визначився(лась),,Ні,Ні,50 на 50
10/5/2023 8:32:14,ЕПЕ,Чоловік,3,Ні,Так,,Ні,Ні,"Так, студ життям"
10/5/2023 9:19:27,ІТ та БА,Чоловік,3,Так,Та ти шо,,Ні,Ні,"Так, і тим, і тим"
10/5/2023 10:32:02,Філологія,Жінка,2,Так,Так,,Ні,Так,"Так, студ життям"
10/5/2023 10:36:51,Комп’ютерні науки,Чоловік,1,Так,Так,,Ні,Ні,"Так, політикою"
10/5/2023 10:41:37,Соціологія,Жінка,1,Так,Так,,Так,Так,"Так, і тим, і тим"
10/5/2023 11:42:51,Філологія,Жінка,2,Так,Не визначився(лась),"Ще не впевнена, тому що немає гідних тез команд, але всеодно хтось краще себе покаже.",Так,Ні,50 на 50
10/5/2023 11:46:45,Історія,Чоловік,3,Ні,Так,,Так,Так,"Так, і тим, і тим"
10/5/2023 11:54:20,ЕПЕ,Жінка,1,Так,Не визначився(лась),,Так,Ні,50 на 50
10/5/2023 11:55:07,ЕПЕ,Чоловік,2,Ні,Так,,Так,Так,"Так, і тим, і тим"
10/5/2023 11:55:47,ЕПЕ,Чоловік,2,Ні,Не визначився(лась),,Ні,Ні,"Так, політикою"
10/5/2023 11:57:19,ЕПЕ,Жінка,2,Ні,Та ти шо,,Так,Так,"Так, і тим, і тим"
10/5/2023 11:57:59,ЕПЕ,Чоловік,1,Так,Та ти шо,,Так,Так,"Так, і тим, і тим"
10/5/2023 11:58:48,Соціологія,Жінка,2,Так,Та ти шо,,Так,Ні,"Так, студ життям"
10/5/2023 11:59:38,ЕПЕ,Жінка,1,Так,Так,"Проаналізувавши програми та вивчивши кандидатів, я зробила свій вибір.Особисто знаю людей, що балотуються,  тож можу оцінити більшість кандидатів та обрати найоптимальніше.",Так,Ні,"Так, і тим, і тим"
10/5/2023 12:03:21,ЕПЕ,Жінка,2,Ні,Так,,Так,Ні,"Так, і тим, і тим"
10/5/2023 12:04:16,ЕПЕ,Чоловік,1,Так,Та ти шо,Маю знайомих там,Ні,Так,"Так, і тим, і тим"
10/5/2023 12:11:54,ЕПЕ,Жінка,1,Так,Так,,Так,Ні,"Так, і тим, і тим"
10/5/2023 12:30:53,ЕПЕ,Жінка,1,Ні,Не визначився(лась),,Ні,Ні,"Так, політикою"
10/5/2023 14:24:19,Право,Жінка,3,Так,Так,Члени команди - чудові!,Так,Ні,"Так, політикою"
10/5/2023 14:29:26,Право,Жінка,3,Так,Так,,Так,Ні,"Так, і тим, і тим"
10/5/2023 14:30:02,ІТ та БА,Чоловік,3,Так,Так,,Так,Ні,"Так, і тим, і тим"
10/5/2023 14:31:07,Богослов'я,Жінка,3,Так,Не визначився(лась),,Так,Ні,"Ні, нічим з вище переліченого"
10/5/2023 14:32:50,Право,Чоловік,3,Так,Так,Програма наразі виглядає доволі деталізованою й намагається влаштувати глобальні зміни в університеті.,Ні,Ні,50 на 50
10/5/2023 14:35:54,Історія,Жінка,3,Ні,Так,"в них все сирукторувано та чітко, найкраща програма, видно страння і що люди жили цією ідеєю",Ні,Так,50 на 50
10/5/2023 14:36:36,Історія,Жінка,3,Ні,Так,,Так,Так,"Так, і тим, і тим"
10/5/2023 14:36:58,Історія,Жінка,3,Ні,Так,"дуже крута програма, відчутно що вони сильна команда",Так,Так,50 на 50
10/5/2023 14:37:15,Історія,Жінка,3,Ні,Так,,Так,Ні,"Так, і тим, і тим"
10/5/2023 14:37:17,Культурологія,Жінка,2,Так,Так,,Так,Інколи,"Так, і тим, і тим"
10/5/2023 14:37:42,Історія,Чоловік,3,Ні,Так,"Найглибша, найпродуманіша програма. В Авжеж вона дуже поверхнева та популістська, у них виходить лише відгукуватись на Так!
ТаТиШо мій другий варіант, якщо буде чітке продовження програми.",Так,Ні,"Так, і тим, і тим"
10/5/2023 14:38:09,Історія,Жінка,2,Так,Не визначився(лась),,Ні,Інколи,"Так, політикою"
10/5/2023 14:38:14,Філологія,Чоловік,2,Ні,Не визначився(лась),,Ні,Ні,"Ні, нічим з вище переліченого"
10/5/2023 14:38:33,Філологія,Жінка,2,Ні,Я виступаю проти всіх,,Ні,Ні,"Так, політикою"
10/5/2023 14:39:38,Історія,Чоловік,2,Так,Авжеж,,Ні,Ні,Не знаю
10/5/2023 14:41:06,Історія,Жінка,2,Ні,Так,,Так,Інколи,"Так, і тим, і тим"
10/5/2023 14:41:34,Психологія,Жінка,1,Так,Так,"Крута команда, програма і цілі, відчуття комфорту і бажання бути в університеті саме з цим студентським урядом",Так,Так,"Так, студ життям"
10/5/2023 14:44:01,Історія,Жінка,2,Так,Так,,Так,Інколи,"Так, і тим, і тим"
10/5/2023 14:45:45,Історія,Чоловік,3,Ні,Так,"Доволі довгий процес прочитання та осмислення кожної програми, людей які це обіцяють, тощо. Створило картинку того, що найбільш точний та цікавий вибір - Так!",Так,Інколи,"Так, і тим, і тим"
